NO.,CODE,PART NUMBER,PALLET NO.,PACK SIZE,NO. OF BOX,TOTAL,LOCATOR,,
599,,87693-20-24N,,2,1,2,AR1L2,,
603,,87912-16-16N,,53,1,53,GB10,,
612,,87992-12-12N,,30,1,30,GB10,,
617,NXHE,87992-24-24N,,12,1,12,GB10,,
619,,90011-08-08N,,3,1,3,AR1L3,,
620,,90011-10-10N,,74,1,74,AR1L3,,
621,,90012-12-12N,,90,1,90,AR1L3,,
623,,90012-16-16N,,55,1,55,AR1L4,,
624,,FL-24N,,30,1,30,GB10,,
626,,FL-32N,,43,1,43,GB10,,
628,,FL-40N,,29,1,29,AR1L3,,
